timestamp,task,condition,model,condition_type,sample_seed,pool_samples,skill_pools,skills_given,skill_imports_enforced,import_policy,skill_import_violations,api_status,script_status,verifier_success,issues,notes,elapsed_seconds
2026-06-27T01:09:29,pubtables,multi_pool_all,glm-4.5-air,multi_pool_all,,{},"{""table_extraction"": [""table-ocr-structure-reconstructor"", ""bbox-row-column-parser"", ""table-boundary-noise-filter"", ""header-span-detector"", ""file-converter""], ""data_cleaning"": [""multi-source-data-cleaner-pro"", ""data-analysis"", ""data-analyst-cn"", ""excel-xlsx"", ""chat2duckdb""], ""validation_audit"": [""metric-consistency-auditor"", ""artifact-contract-checker"", ""code-executor"", ""data-reconciliation-exceptions"", ""sql-master""], ""summary_reporting"": [""grounded-metric-summary"", ""extraction-audit-summary"", ""typora-visual-architect"", ""generate-report123"", ""data2visualization""]}",table-ocr-structure-reconstructor|bbox-row-column-parser|table-boundary-noise-filter|header-span-detector|file-converter|multi-source-data-cleaner-pro|data-analysis|data-analyst-cn|excel-xlsx|chat2duckdb|metric-consistency-auditor|artifact-contract-checker|code-executor|data-reconciliation-exceptions|sql-master|grounded-metric-summary|extraction-audit-summary|typora-visual-architect|generate-report123|data2visualization,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, Rule Parser, weak baseline | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","This script implements a complete table extraction pipeline for PubTables-style OCR data. It reconstructs table structure from word bounding boxes, filters out caption/footnote text, normalizes metric rows, performs audit checks, and generates a grounded summary. The script follows all specified requirements: uses only local file operations, avoids GUI/cloud APIs, reads from environment variables, and writes all required output artifacts.",58.87
2026-06-27T01:10:27,pubtables,multi_pool_sample_s01,glm-4.5-air,multi_pool_sample,1,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""typora-visual-architect""]}",bbox-row-column-parser|chat2duckdb|metric-consistency-auditor|typora-visual-architect,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Accuracy, ChemTable, Dataset, Evaluation score (%), F1, GraphNet, Method, Notes, PubMed QA, Rule Parser, TableFormer, weak baseline | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","Script implements bbox-row-column-parser to reconstruct table structure from OCR words, then extracts normalized metrics and performs audit. Handles coordinate normalization, row/column grouping, cell text assembly, and metric extraction with validation.",37.42
2026-06-27T01:11:05,pubtables,multi_pool_sample_s02,glm-4.5-air,multi_pool_sample,2,"{""table_extraction"": ""table-ocr-structure-reconstructor"", ""data_cleaning"": ""multi-source-data-cleaner-pro"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""table-ocr-structure-reconstructor""], ""data_cleaning"": [""multi-source-data-cleaner-pro""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""typora-visual-architect""]}",table-ocr-structure-reconstructor|multi-source-data-cleaner-pro|metric-consistency-auditor|typora-visual-architect,False,warn,,ok,not_started,False,"expected an indented block after 'if' statement on line 127 (<unknown>, line 129)","Script implements table reconstruction from OCR words, filtering table region, grouping into rows/columns, extracting metrics, and generating audit report. Uses word positions and bounding boxes to reconstruct structure without external dependencies.",28.84
2026-06-27T01:11:34,pubtables,multi_pool_sample_s03,glm-4.5-air,multi_pool_sample,3,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""sql-master"", ""summary_reporting"": ""extraction-audit-summary""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""sql-master""], ""summary_reporting"": [""extraction-audit-summary""]}",bbox-row-column-parser|chat2duckdb|sql-master|extraction-audit-summary,False,warn,,ok,exit_1,False,"Traceback (most recent call last):
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\agent_workspace\generated_solution.py"", line 7, in <module>
    with os.environ['ORIGINAL_WORDS_JSON'] as f:
         ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'str' object does not support the context manager protocol (missed __exit__ method)
 | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\artifacts\table_cells.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\artifacts\metrics.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\artifacts\audit.json | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\artifacts\summary.md","Script implements bbox-row-column-parser to reconstruct table structure from OCR words, filters caption/footnote text, extracts normalized metrics, and generates audit summary. Uses coordinate-based row/column grouping with tolerance calculations.",23.58
2026-06-27T01:11:57,pubtables,multi_pool_sample_s04,glm-4.5-air,multi_pool_sample,4,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""generate-report123""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""generate-report123""]}",bbox-row-column-parser|data-analyst-cn|metric-consistency-auditor|generate-report123,False,warn,,ok,not_started,False,"expected an indented block after 'if' statement on line 122 (<unknown>, line 124)","Script implements bbox-row-column-parser to reconstruct table structure from OCR words, filters table words from caption/footnote text, extracts metrics with simple parsing, audits for consistency, and generates a grounded summary. Uses only local file operations and environment variables for paths.",35.02
2026-06-27T01:12:32,pubtables,multi_pool_sample_s05,glm-4.5-air,multi_pool_sample,5,"{""table_extraction"": ""file-converter"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""code-executor"", ""summary_reporting"": ""data2visualization""}","{""table_extraction"": [""file-converter""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""code-executor""], ""summary_reporting"": [""data2visualization""]}",file-converter|data-analyst-cn|code-executor|data2visualization,False,warn,,ok,exit_0,False,"metrics.csv mismatch for method: expected 'GraphNet', got 'Accuracy'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'F1'. | metrics.csv mismatch for notes: expected 'cross-domain', got 'GraphNet'. | metrics.csv mismatch for accuracy: expected 84.7, got 91.2. | metrics.csv mismatch for f1: expected 81.3, got None. | metrics.csv mismatch for method: expected 'Rule Parser', got 'Rule'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'Parser'. | metrics.csv mismatch for notes: expected 'weak baseline', got 'ChemTable'. | metrics.csv mismatch for method: expected 'TableFormer', got 'cross-domain'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'TableFormer'. | metrics.csv mismatch for notes: expected 'best', got 'ChemTable'. | metrics.csv mismatch for method: expected 'GraphNet', got '86.9'. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'baseline'. | metrics.csv mismatch for notes: expected 'best', got 'GraphNet'. | metrics.csv mismatch for accuracy: expected 91.2, got 84.7. | metrics.csv mismatch for f1: expected 88.6, got 81.3. | metrics.csv mismatch for method: expected 'TreeCRF', got '88.6'. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'best'. | metrics.csv mismatch for notes: expected 'baseline', got 'TreeCRF'. | metrics.csv mismatch for f1: expected 86.9, got None. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, Rule Parser, weak baseline | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): PubMed QA, ChemTable","This script implements a complete PubTables extraction pipeline using the sampled skills. It reconstructs table structure from OCR words, normalizes metric rows, performs audit validation, and generates a Markdown summary. The implementation uses position-based clustering to form cells and applies heuristics for header detection and metric extraction. All outputs are saved to the specified artifact paths.",45.86
2026-06-27T01:13:18,pubtables,multi_pool_sample_s06,glm-4.5-air,multi_pool_sample,6,"{""table_extraction"": ""file-converter"", ""data_cleaning"": ""multi-source-data-cleaner-pro"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""file-converter""], ""data_cleaning"": [""multi-source-data-cleaner-pro""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""typora-visual-architect""]}",file-converter|multi-source-data-cleaner-pro|data-reconciliation-exceptions|typora-visual-architect,False,warn,,ok,exit_1,False,"Traceback (most recent call last):
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\agent_workspace\generated_solution.py"", line 7, in <module>
    with os.environ['ORIGINAL_WORDS_JSON'] as f:
         ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'str' object does not support the context manager protocol (missed __exit__ method)
 | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\artifacts\table_cells.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\artifacts\metrics.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\artifacts\audit.json | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\artifacts\summary.md","Script implements basic table reconstruction from OCR words, separating table content from caption/footnote text. It reconstructs cells row by row, identifies headers, and extracts simple metrics. The audit tracks extraction quality and best performers. Note: This is a simplified implementation - a full solution would need more sophisticated cell span detection and metric parsing.",23.90
2026-06-27T01:13:42,pubtables,multi_pool_sample_s07,glm-4.5-air,multi_pool_sample,7,"{""table_extraction"": ""table-boundary-noise-filter"", ""data_cleaning"": ""data-analysis"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""grounded-metric-summary""}","{""table_extraction"": [""table-boundary-noise-filter""], ""data_cleaning"": [""data-analysis""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""grounded-metric-summary""]}",table-boundary-noise-filter|data-analysis|data-reconciliation-exceptions|grounded-metric-summary,False,warn,,ok,not_started,False,"expected an indented block after 'if' statement on line 81 (<unknown>, line 83)","Script implements table reconstruction using table-boundary-noise-filter, extracts metrics with simple parsing, creates audit with best methods by dataset, and writes grounded summary. Uses only local file operations and follows all specified requirements.",23.64
2026-06-27T01:14:06,pubtables,multi_pool_sample_s08,glm-4.5-air,multi_pool_sample,8,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""extraction-audit-summary""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""extraction-audit-summary""]}",bbox-row-column-parser|data-analyst-cn|data-reconciliation-exceptions|extraction-audit-summary,False,warn,,ok,exit_1,False,"Traceback (most recent call last):
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\agent_workspace\generated_solution.py"", line 7, in <module>
    with os.environ['ORIGINAL_WORDS_JSON'] as f:
         ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'str' object does not support the context manager protocol (missed __exit__ method)
 | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\artifacts\table_cells.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\artifacts\metrics.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\artifacts\audit.json | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\artifacts\summary.md","Script implements bbox-row-column-parser to reconstruct table structure from OCR words, extracts normalized metrics, performs audit validation, and generates summary. Uses coordinate-based row/column grouping and simple metric extraction.",28.51
2026-06-27T01:14:34,pubtables,multi_pool_sample_s09,glm-4.5-air,multi_pool_sample,9,"{""table_extraction"": ""header-span-detector"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""code-executor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""header-span-detector""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""code-executor""], ""summary_reporting"": [""typora-visual-architect""]}",header-span-detector|chat2duckdb|code-executor|typora-visual-architect,False,warn,,ok,exit_1,False,"Traceback (most recent call last):
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_workspace\generated_solution.py"", line 308, in <module>
    main()
    ~~~~^^
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_workspace\generated_solution.py"", line 286, in main
    cells = extract_table_cells(words_data)
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_workspace\generated_solution.py"", line 69, in extract_table_cells
    table_words = [word for word in words if is_inside_table(word.get('bbox', {}), table_bbox)]
                                             ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_workspace\generated_solution.py"", line 47, in is_inside_table
    return (word_bbox.get('x1', 0) >= table_bbox.get('x1', 0) and
            ^^^^^^^^^^^^^
AttributeError: 'list' object ha | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\artifacts\table_cells.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\artifacts\metrics.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\artifacts\audit.json | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\artifacts\summary.md","This script implements a complete PubTables pipeline using the sampled skills. It reconstructs table structure from OCR words, extracts normalized metrics, performs validation audit, and generates a Markdown summary. The script handles header detection, row/column spans, and excludes caption/footnote text from metrics. It uses only local file operations and follows the specified output format requirements.",52.39
