row_id,col_id,row_span,col_span,is_header,text
0,0,1,1,1,Method
0,1,1,1,1,Dataset
0,3,1,1,1,Evaluation
0,4,1,1,1,score (%)
0,5,1,1,1,Notes
1,3,1,1,0,Accuracy
1,4,1,1,0,F1
2,0,1,1,0,GraphNet
2,1,1,1,0,PubMed
2,2,1,1,0,QA
2,3,1,1,0,91.2
2,4,1,1,0,88.6
2,5,1,1,0,best
3,0,1,1,0,TreeCRF
3,1,1,1,0,PubMed
3,2,1,1,0,QA
3,3,1,1,0,89.5
3,4,1,1,0,86.9
3,5,1,1,0,baseline
4,0,1,1,0,GraphNet
4,1,1,1,0,ChemTable
4,3,1,1,0,84.7
4,4,1,1,0,81.3
4,5,1,1,0,cross-domain
5,0,1,1,0,TableFormer
5,1,1,1,0,ChemTable
5,3,1,1,0,87.8
5,4,1,1,0,84.2
5,5,1,1,0,best
6,0,1,1,0,Rule Parser
6,1,1,1,0,ChemTable
6,3,1,1,0,71.0
6,4,1,1,0,68.4
6,5,1,1,0,weak
6,6,1,1,0,baseline
